Created Date,Folders,ID,Subject,Question,Instructor Answers,Student Answers
2024-11-26T20:29:39Z,"project, logistics",185,Poster Presentation Schedule &amp; Rubrics,"<md>Dear 6.9540 EfficientML Course Students,

We are excited to announce that the poster presentation dates have been scheduled! You can find your assigned presentation date on the following Google Sheet:  
[Google Sheet Link](https://docs.google.com/spreadsheets/d/1eeXoxVxtHcEjw8BqiVRpaFAMeQFTnpBT3rKv2LbJQ6w/edit?usp=sharing).

### Grading Rubric for Final Projects

Your final project will be evaluated based on the following criteria, each contributing 10 points to your overall grade (70 points in total):

*   **Motivation**: 10 pts
*   **Technical Soundness**: 10 pts
*   **Novelty**: 10 pts
*   **Evaluation**: 10 pts
*   **Poster**: 10 pts
*   **Written Report**: 10 pts
*   **Open Source / Demo**: 10 pts

Each project will be independently scored by **three TAs**, and your final grade will be the average of these scores.

### Poster Presentation Guidelines

To ensure a smooth and successful presentation, please follow these guidelines:

1.  Prepare a **printed version of your poster**, with dimensions no larger than **36x48 inches**. Posters printed across multiple **letter/A4-sized pages** are acceptable, though be prepared for extra taping.
2.  Every team member is required to **attend the poster presentation**. However, when presenting to the TAs, it is acceptable for only one member to present on behalf of the team.
3.  Your **presentation and poster must clearly indicate each team member's contribution** to the project.

We will provide poster boards and easels for the event, but you are responsible for printing your poster.

Thank you for your cooperation, and we look forward to seeing your incredible projects! If you have any questions, please don’t hesitate to contact us.</md>",No instructor answer,No student answer
2024-10-29T23:40:32Z,other,109,WorldModelBench Annotation Competition: Sharpen AI&#39;s Understanding of the Physical World!,"<md>Dear Students,

We’re excited to announce an engaging opportunity for you to directly contribute to cutting-edge AI research in our course. As you know, high-quality human judgment is invaluable in developing robust AI models, and **WorldModelBench**—a novel benchmark for evaluating video generation models—needs your insights!

### **About WorldModelBench**

WorldModelBench is designed to test whether today’s leading video generation models can truly simulate realistic environments. Although promising, these models frequently fall short, often defying basic physics (think objects levitating or liquids defying gravity) and missing commonsense logic. We’re looking to you to evaluate these generated videos, helping to identify areas for improvement.

### **What You’ll Do**

As annotators, you’ll review video samples and assess them based on:

*   **Instruction Following** (0–3)
*   **Commonsense Adherence** (0–2)
*   **Physics Adherence** (0–5)

Each video is accompanied by a textual instruction and, occasionally, a conditional image frame. Your task is to evaluate how well the generated video aligns with the provided guidance and whether it adheres to commonsense and basic physical laws.

**Detailed instructions can be found here:** [Annotation Guide](https://docs.google.com/document/d/1kOirJAAU-g7CwrI7NtfJy6hYsiU0VChGJivr7_-b860/edit?usp=sharing)

### **How to Participate**

1.  **Go to** [worldmodelbench.hanlab.ai](https://worldmodelbench.hanlab.ai).
2.  **Annotate videos** by scoring each category.
3.  **Important**: Please log in using your MIT email to track your contributions.

### **Rewards for Top Annotators**

To acknowledge your efforts, we’ll be rewarding top annotators (based on the quantity and quality of annotations):

*   **1st Place**: Jetson Orin Nano
*   **2nd–3rd Place**: Qualcomm Snapdragon Development Board
*   **4th–6th Place**: STM32 TinyML Development Board

### **Timeline**

*   **Competition Start**: October 29, 2024, 5 PM ET
*   **Competition End**: November 4, 2024, 11:59 PM ET
*   **Awards Announcement**: Tuesday in class

Dive in, and let’s collaboratively elevate the capabilities of AI video generation. Thank you in advance for your enthusiasm and insights!</md>",No instructor answer,No student answer
2024-09-05T21:39:58Z,logistics,9,Important: Prerequisite Enforcement for Course 6.5940 TinyML and Efficient Deep Learning Computing,"<md>Dear Students,

As we prepare for the new semester, we would like to inform you about the strict enforcement of prerequisites for 6.5940 TinyML and Efficient Deep Learning Computing: 

+ **6.191 Computation Structures _and_ 6.390 Intro to Machine Learning**;
+ Students who don't fulfill the prerequisites will be **de-registered in the second week** of class. 

If you believe you have equivalent prior experience (e.g., a computer architecture course taken during your undergraduate studies at another institution), you may petition for consideration. Please submit your [Petition Form](https://docs.google.com/forms/d/1gkESVTUXDmW-skKDJFELq3OTKdHo2Z_AOdPVv0vOwvk) by Sept. 6, 2024, 11:59:59 PM EST.

You can optionally upload related materials, such as transcripts, in the Petition Form. This will increase the chances of our approval of your petition. If you have already submitted the petition form and want to attach new materials, you can submit it again.

Thank you for your attention to this matter.</md>",No instructor answer,No student answer
2024-11-27T18:13:53Z,project,188,Is poster really necessary?,Can we just use our laptop to present the poster? ,No instructor answer,No student answer
2024-11-27T04:45:38Z,"project, logistics",187,Due date for paper,"<p>Hello,</p>
<p></p>
<p>I just wanted to clarify that the final project paper is due on December 10th right? Only the poster presentation is due on the assigned date (next week)?</p>
<p></p>
<p>Thanks!</p>",No instructor answer,"On the website it says Saturday 12/14, should it not be then?"
2024-11-26T17:43:42Z,project,184,Poster Presentation Clarifications,"What is the expectation for the poster presentation, in terms of the poster itself (actual physical poster?) and length/content of presentation? What should the report look like?/Do you have an example from previous years we can look at?","<md>Hi,

A printed version of the poster is required during the presentation, with dimensions no larger than 36x48 inches. Posters printed across multiple letter/A4-sized pages are acceptable, though be prepared for extra taping.

The written report should use the NeurIPS template which you can download [here](https://neurips.cc/Conferences/2024/CallForPapers).</md>",No student answer
2024-11-26T17:35:40Z,project,183,Project 4 Expectations?,"We&#39;re a little confused at the technical scope of project 4. Is there an expectation to modify the actual architecture of tinyengine, or if we have enough scope (extending from binary classification, modifying training, etc.) around the existing model, is that sufficient? https://docs.google.com/document/d/1QiCkCUr_1DnLNUCXUM3g0SQRIbVG5XyrQjdfsUPrIeA/edit?tab=t.0","<md>Hi,

It’s completely fine to use TinyEngine as an MCU deployment tool for your on-device training project.It is totally fine to use the tinyengine as a MCU deployment tool for your on-device training project.</md>",No student answer
2024-11-24T01:54:18Z,project,181,W4A8 Explanation,"<md>Reading through the AWQ and SmoothQuant papers, I understand how W4A16 works and how W8A8 works. However, in Lab 5 and in other readings, I've seen a jump from those two methods to also having W4A8. Reading the QServe paper, they also have a W4A8 implementation. Can someone explain how this works? Do they essentially apply SmoothQuant first to get weights and activations to INT8, and then apply AWQ to get weights to INT4? How does it work in the TinyChatEngine like the one we implemented in Lab 5?</md>",No instructor answer,No student answer
2024-11-23T04:49:20Z,other,179,Quantization of gradient with residual,"If we keep a residual of the gradient after quantizing it, does this not defeat the purpose of quantization? On slide 57 of lecture of distributed training (II), it seems that keeping the residual will take up as much memory as the actual gradient.",No instructor answer,No student answer
2024-11-22T22:17:49Z,project,178,Action Required: Team Information &amp; Blackout Date for Poster Presentation,"<md>Dear 6.9540 EfficientML Course Students,

I hope this email finds you well. As part of the preparation for the poster presentation, we kindly ask each team to provide the following information:

- Team Members: List the names of all members in your team.
- Blackout Date: Indicate the single date your team is unavailable for the poster presentation.

Please note:
- Only one representative from each team needs to fill out the sheet on behalf of the entire team.
- Each team is allowed only one blackout date. For any special cases, please email us directly.
- Ensure the information is accurate and submitted by November 26.

You can access the sheet here: [Google Sheet Link](https://docs.google.com/spreadsheets/d/1T4nQB4gdK-hF6QLKgfmmz\_wnYvVyWVc2L954XUjceD4/edit?usp=sharing).

Thank you for your prompt attention to this matter. If you have any questions, please don’t hesitate to reach out.

Best wishes,

MIT EfficientML Course Staff</md>",No instructor answer,No student answer
